מספר חברה,שם חברה,שם באנגלית,סוג תאגיד,סטטוס חברה,תאור חברה,מטרת החברה,תאריך התאגדות,חברה ממשלתית,מגבלות,מפרה,שנה אחרונה של דוח שנתי (שהוגש),city,street,number,מיקוד,ת.ד.,מדינה,אצל,תת סטטוס,TAB_Changes_Dates.latest_change,Year,Month
513414821,חשב ביקורת פנים (2003) בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.05.03 00:00,לא,מוגבלת,,2020,ראש העין,זהרה אלפסיה,4,4813925,,ישראל,,,19.09.2021,2021,9
513415869,מאוילור בע~מ,MAVILOR LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,29.05.03 00:00,לא,מוגבלת,,2021,קיסריה,לשם,17,3088900,,ישראל,,,24.08.2021,2021,8
513416792,אומניווי(2003)בעמ,OMNIVEE (2003) LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,02.06.03 00:00,לא,מוגבלת,,2021,ראש העין,המלאכה,14,4809133,,ישראל,די.וי.טל ישראל בע~מ, בפרוק מרצון בהליך מזורז,18.11.2015,2015,11
513418269,זמן-עתיד פתוח ויזמות טכנולוגית בע~מ,FUTURE-TENSE TECHNOLOGICAL DEVELOPMENT & ENTREPRENEURSHIP LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,04.06.03 00:00,לא,מוגבלת,,2022,קיסריה,הטוחן,2,3088900,,ישראל,ד~ר יורם ציביון ,,29.06.2015,2015,6
513418939,אופנת רספקט בע~מ,RESPECT FASHION LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.06.03 00:00,לא,מוגבלת,מפרה,2019,הוד השרון,הדרים,6,4528035,,ישראל,,,16.01.2018,2018,1
513419424,א.ב.ן. פסגות בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.06.03 00:00,לא,מוגבלת,מפרה,2019,זכרון יעקב,הרצל,9,3090000,,ישראל,,,21.05.2018,2018,5
513420216,טרמו סיב בע~מ,THERMO SIV  LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.06.03 00:00,לא,מוגבלת,מפרה,2019,ראש העין,עמל,11,4809239,,ישראל,טרמוסיב בע~מ ,,14.07.2019,2019,7
513420422,אמיקן ניהול נכסים בשרון  בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.06.03 00:00,לא,מוגבלת,,2021,הוד השרון,הנגר,22,4501317,,ישראל,אצל משרד עו~ד יאיר פנחסי,,23.02.2021,2021,2
513420661,דגל שרותי רפואה בע~מ,DEGEL MEDICAL SERVICES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,11.06.03 00:00,לא,מוגבלת,,2022,פרדסיה,שד הנשיא,1,4281500,,ישראל,,,10.07.2019,2019,7
513421719,מועדון טופספין,TOPSPIN CLUB,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,15.06.03 00:00,לא,לא מוגבלת,מפרה,2019,הוד השרון,הרצל,9,4528315,,ישראל,טל קרפמן,,02.01.2015,2015,1
513421974,נעה פירזול בע~מ,NOA PIRZUL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,15.06.03 00:00,לא,מוגבלת,,2021,ראש העין,המרץ,9,4801709,,ישראל,,,05.12.2017,2017,12
513422675,ליעם רד ניהול בע~מ,LIAM RAD MANAGEMENT  LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,16.06.03 00:00,לא,מוגבלת,,2021,אבן יהודה,חמנית,34,0,,ישראל,רמי,,20.06.2015,2015,6
513423426,אייס אפלייד קוגניטיב אנג'ינירינג בע~מ,ACE APPLIED COGNITIVE ENGINEERING LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,18.06.03 00:00,לא,מוגבלת,,2022,הוד השרון,הבנאי,5,4531905,,ישראל,,,01.09.2020,2020,9
513423541,א.ל. אוראן בע~מ,A.L. ORAN LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,18.06.03 00:00,לא,מוגבלת,,2021,זכרון יעקב,הכלנית,11,3090000,,ישראל,ערן לויטה,,01.05.2013,2013,5
513425140,טופ דאנס בע~מ,TOP DANCE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,23.06.03 00:00,לא,מוגבלת,,2022,הוד השרון,שד הנשיאים,8,4537104,,ישראל,,,12.03.2020,2020,3
513425405,או.אפ.אי.אס שירותי התקנת ריהוט משרדי בע~מ,O.F.I.S OFFICE FURNITURE  INSTALLATION SERVICES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,23.06.03 00:00,לא,מוגבלת,,2021,ראש העין,גרניט,15,4854115,,ישראל,חסון עמוס,,24.11.2020,2020,11
513425892,אסיו טכנולוגיות בע~מ,ASIO TECHNOLOGIES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.06.03 00:00,לא,מוגבלת,,2020,ראש העין,עמל,11,4809241,,ישראל,,,12.03.2017,2017,3
513426312,א.ר. רפאל מסחר בע~מ,A.R. REFAEL TRADE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,25.06.03 00:00,לא,מוגבלת,,2020,הוד השרון,שמיר,13,4528524,,ישראל,רוברט שטיין,,22.01.2012,2012,1
513428458,נובלוג בע~מ,NOVALOG LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.07.03 00:00,לא,מוגבלת,,2020,הוד השרון,הנגר,22,4501317,,ישראל,טרייטק בע~מ,,17.11.2021,2021,11
513428474,דוריפאק הפצה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.07.03 00:00,לא,מוגבלת,,2021,קיסריה,אלון התבור,20,3088900,,ישראל,רח' אלון התבור (פארק תעשיה דרומי),,17.02.2022,2022,2
513428607,יצאת גדול בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.07.03 00:00,לא,מוגבלת,,2020,סביון,הנוף,12,5654012,,ישראל,,,27.05.2014,2014,5
513431791,סאפיינס וויי בע~מ,SAPIENCE WAY LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,09.07.03 00:00,לא,מוגבלת,,2020,קיסריה,שוהם,19,3088900,,ישראל,,,03.01.2019,2019,1
513432864,נתנאל חב' ליעוץ בנושאי כריה חציבה ופיצוצים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,14.07.03 00:00,לא,מוגבלת,מפרה,2017,זכרון יעקב,צה~ל,1,3090000,,ישראל,, בפרוק מרצון בהליך מזורז,09.11.2012,2012,11
513434258,הוברט אחזקות בע~מ,HOBART HOLDINGS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,17.07.03 00:00,לא,מוגבלת,,2021,קיסריה,האשל,3,3079830,,ישראל,,,16.06.2021,2021,6
513434688,פרטוש שלמה תעשיות בלוקים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,17.07.03 00:00,לא,מוגבלת,,2020,ראש העין,התעשייה,0,4801700,,ישראל,"רח' האירוס, אזור תעשיה חצב",,17.04.2013,2013,4
513434712,גלינג יעוץ בע~מ,GLING CONSULTING LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,20.07.03 00:00,לא,מוגבלת,,2020,זכרון יעקב,הסתונית,37,3093153,,ישראל,רוטמן עמרי,,04.05.2020,2020,5
513436410,אי אס וסקולר בע~מ,E S  VASCULAR LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,23.07.03 00:00,לא,מוגבלת,מפרה,2010,הוד השרון,שלמה המלך,16,,,ישראל,,,06.02.2012,2012,2
513441287,ארק שירותי מזון בע~מ,ARK FOOD SERVICES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.08.03 00:00,לא,מוגבלת,,2021,נתב~ג               ,,0,7010000,,ישראל,קיו. איי. אס ישראל בע~מ,,29.04.2021,2021,4
513444380,חוף השמש השקעות בע~מ,HOF HASHEMESH INVESTMENTS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,14.08.03 00:00,לא,מוגבלת,,2021,פרדסיה,התות,13,4281500,,ישראל,,,01.09.2019,2019,9
513445569,אור-מרפא מיתרי הנפש בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,19.08.03 00:00,לא,מוגבלת,מפרה,2018,פרדס חנה-כרכור,הקרן,10,3752118,,ישראל,,,23.03.2016,2016,3
513446591,שלמה תייר בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.08.03 00:00,לא,מוגבלת,,2022,הוד השרון,כסלו,12,4521968,,ישראל,שלמה תייר,,20.05.2021,2021,5
513446823,פוליגון טק בע~מ,POLYGON TECH LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,26.08.03 00:00,לא,מוגבלת,מפרה,2021,אבן יהודה,קקטוס,3,0,,ישראל,פולג,,17.11.2019,2019,11
513447698,דשא בניה מתקדמת בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,25.08.03 00:00,לא,מוגבלת,מפרה,2013,כפר יונה,גולני,21,4030000,,ישראל,,,06.06.2015,2015,6
513449009,סופדיל בע~מ,SOFDEAL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.08.03 00:00,לא,מוגבלת,,2021,הוד השרון,הרב שלום נגר        ,24,,,ישראל,,,14.10.2020,2020,10
513449157,מעוף אוטומציה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,28.08.03 00:00,לא,מוגבלת,,2021,הוד השרון,מזל שור,4,4536174,,ישראל,,,07.06.2015,2015,6
513449397,חנות האונליין בע~מ,THE ONLINE STORE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,31.08.03 00:00,לא,מוגבלת,,2021,קיסריה,אלון התבור,10,3088900,,ישראל,ש. שסטוביץ בע~מ,,03.10.2021,2021,10
513449710,לייזר רנט בע~מ,LASER RENT LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,31.08.03 00:00,לא,מוגבלת,,2021,אבן יהודה,הערבה,3,4050000,,ישראל,נפתלי טל עזגד,,27.08.2019,2019,8
513449892,סנטינאל ליווי עסקי בע~מ,SENTINEL BUSINESS ESCORT LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.09.03 00:00,לא,מוגבלת,,2022,פרדס חנה-כרכור,גלבוע,1,3715101,,ישראל,זעירי דליה,,06.09.2016,2016,9
513450437,אבני דרך השמת כח אדם ומנהלים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,02.09.03 00:00,לא,מוגבלת,מפרה,2022,ראש העין,ניסים אלוני,16,4813934,,ישראל,שושנה סגל גור,,07.10.2019,2019,10
513450478,א.נ. זכיינים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.09.03 00:00,לא,מוגבלת,מפרה,2011,זכרון יעקב,אלון יגאל,35,3090000,,ישראל,בכר אברהם,,15.09.2011,2011,9
513452169,וליונטינה שיווק בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.09.03 00:00,לא,מוגבלת,מפרה,2018,יהוד-מונוסון,ויצמן,19,5623509,,ישראל,,,19.02.2019,2019,2
513453357,קונסילוגרם בע~מ,CONCEALOGRAM LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,09.09.03 00:00,לא,מוגבלת,מפרה,2021,ראש העין,עמל,11,4809239,,ישראל,,,31.08.2014,2014,8
513453589,ספין קל בע~מ,SPINCAL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,09.09.03 00:00,לא,מוגבלת,,2022,הוד השרון,שד הנשיאים,44,45371,,ישראל,פיני ספינקה,,06.09.2020,2020,9
513454694,סיגנוס - מערכות תכנה (2003) בע~מ,CYGNUS - SOFTWARE SYSTEMS (2003) LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,09.10.03 00:00,לא,מוגבלת,,2022,הוד השרון,הגאולה,4,4527204,,ישראל,,,29.01.2013,2013,1
513456087,ארקנט מערכות בקרה בע~מ,ARCNET CONTROL SYSTEMS L.T.D,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,16.09.03 00:00,לא,מוגבלת,,2021,ראש העין,המלאכה,10,4809100,,ישראל,,,06.06.2019,2019,6
513458000,סמיקס הנדסה ושיווק בע~מ,SEMIX ENGINEERING & MARKETING LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,23.09.03 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,16,4809139,,ישראל,פארק תעשיות אפק,,22.08.2012,2012,8
513458547,ניק טכנולוגיות בע~מ,NYK TECHNOLOGIES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,24.09.03 00:00,לא,מוגבלת,,2022,הוד השרון,העמק,3,4526203,,ישראל,ראובן קרופיק,,28.03.2019,2019,3
513459818,ד.ג. גיו בע~מ,D.G. GIV LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,29.09.03 00:00,לא,מוגבלת,מפרה,2015,הוד השרון,הראשונים,2,4526544,,ישראל,,,06.05.2021,2021,5
513459891,פרו-ויז'ן מערכות מידע בע~מ,PRO-VISION INFORMATION SYSTEMS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,29.09.03 00:00,לא,מוגבלת,מפרה,2022,קיסריה,האשל,1,3088900,,ישראל,פארק תעשיות קיסריה בניין B,,29.12.2020,2020,12
513460105,השקעות חכם ג.י. בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,30.09.03 00:00,לא,מוגבלת,,2020,יהוד-מונוסון,גולדה מאיר,14,5620708,,ישראל,,,23.01.2018,2018,1
513461020,יפת אביזרי גז בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,02.10.03 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,8,4809114,,ישראל,,,29.04.2018,2018,4
513461335,טאטי לחם בע~מ ,TATTI LECHEM LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.10.03 00:00,לא,מוגבלת,,2019,יהוד-מונוסון,גירון אברהם,3,5621717,,ישראל,ענת זרמתי, צו לפתיחת הליכים,04.06.2018,2018,6
513464396,ווינאייר בע~מ,WINAIR LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,27.10.03 00:00,לא,מוגבלת,,2021,כפר יונה,אהוד מנור,2,4037001,,ישראל,אמיר אבן חן,,02.09.2021,2021,9
513466375,שלו - שחמט  בע~מ,SLAV - CHESS  LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,02.11.03 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,19,4809149,,ישראל,,,02.08.2021,2021,8
513466631,מדרה ליוינג סטייל בע~מ,MADERA LIVING STYLE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,03.11.03 00:00,לא,מוגבלת,מפרה,2015,כפר יונה,יחזקאל,1,4030000,,ישראל,,,15.09.2014,2014,9
513468348,מירה נוף נציגויות (2003) בע~מ,MIRA NOF AGENCIES (2003) LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,11.11.03 00:00,לא,מוגבלת,,2020,סביון,הנוף,3,5654003,,ישראל,,,11.07.2018,2018,7
513468413,שי-חי יזמות והשקעות  בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,11.11.03 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,שמשון,7,3713508,,ישראל,עופר ביטון,,07.08.2016,2016,8
513469932,נצר ניהול פרוייקטים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,19.11.03 00:00,לא,מוגבלת,,2020,הוד השרון,הנגר,22,4501317,,ישראל,,,08.10.2015,2015,10
513470336,י.א. דעת בע~מ,Y.E. KNOWLEDGE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,19.11.03 00:00,לא,מוגבלת,מפרה,2022,הוד השרון,מנצח,7,4532809,,ישראל,יואל איפרגן,,20.02.2019,2019,2
513471847,יוביקסס בע~מ,UBXESS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,25.11.03 00:00,לא,מוגבלת,מפרה,2019,הוד השרון,ביכורים,1,4529501,,ישראל,,,08.05.2016,2016,5
513472027,שפיר נחום אחזקות בע~מ,SHAFIR NAHUM HOLDINGS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,24.11.03 00:00,לא,מוגבלת,,2020,קיסריה,האשל,7,3088900,,ישראל,מאיר דרייפוס,,26.04.2020,2020,4
513472936,אקו-סי בע~מ,ECO-SI LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,26.11.03 00:00,לא,מוגבלת,,2022,פרדס חנה-כרכור,דרור,30,3702530,,ישראל,,,26.04.2018,2018,4
513474650,ש.מ.א.ר.  תשתיות בע~מ,S.M.E.R.  TASHTIOT LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,03.12.03 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,המעין,43,3709723,,ישראל,,,09.05.2021,2021,5
513474692,ש.ר.ל. החזקות 2003 בע~מ,S.R.L.HOLDINGS 2003 LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,03.12.03 00:00,לא,מוגבלת,,2016,קיסריה,תרשיש,17,3088900,,ישראל,,,09.05.2017,2017,5
513475376,ניר חן יזמות בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,07.12.03 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,8,4809114,,ישראל,,,16.01.2017,2017,1
513476333,וריאציה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,09.12.03 00:00,לא,מוגבלת,,2020,הוד השרון,היובלים,32,4524770,,ישראל,,,21.04.2015,2015,4
513476838,אר. גאלרי בע~מ,R. GALLERY LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,10.12.03 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,ששת הימים,8,5622304,,ישראל,,,13.02.2018,2018,2
513479212,חבל ארץ אסטרטגית נדל~ן בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,18.12.03 00:00,לא,מוגבלת,,2021,אבן יהודה,הקשת,27,4050000,,ישראל,גדי כרמלי,,09.09.2019,2019,9
513481085,מ.יק.י. יינות בע~מ,M.IK.I. WINES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,22.12.03 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,4,4809106,,ישראל,,,29.07.2019,2019,7
513482984,מרכז וטרינרי אבן יהודה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,25.12.03 00:00,לא,מוגבלת,,2020,אבן יהודה,דרך רבין,1,0,,ישראל,,,22.02.2021,2021,2
513483982, אינטליסאיט טכנולוגיות בע~מ,INTELLISIGHT TECHNOLOGIES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,29.12.03 00:00,לא,מוגבלת,מפרה,2019,אבן יהודה,ההדרים,69,4050000,,ישראל,,,17.07.2019,2019,7
513484089,אם.ג'י.אס.אי  גרופ בע~מ,M.G.S.I GROUP  LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,29.12.03 00:00,לא,מוגבלת,מפרה,2020,הוד השרון,דרך רמתים,49,4532405,,ישראל,,,08.11.2018,2018,11
513485383,יובל בראון השקעות בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,31.12.03 00:00,לא,מוגבלת,,2022,סביון,הדס,5,5655605,,ישראל,,,19.10.2020,2020,10
513485441,אנגל - סטאר סחר ושיווק בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,01.01.04 00:00,לא,מוגבלת,מפרה,,קיסריה,תרשיש,11,3088900,,ישראל,אייל אינגליסטר,,02.01.2013,2013,1
513486746,איזידור ג.ק. השקעות ונכסים בע~מ,IZIDOR G.K. INVESTMENTS AND PROPERTIES LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,01.01.04 00:00,לא,מוגבלת,מפרה,2021,אבן יהודה,המיסדים,62,4050000,,ישראל,,,12.05.2019,2019,5
513486829,פוד לאב הגן הקסום בע~מ,FOOD LOVE MAGIC GARDEN LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,01.01.04 00:00,לא,מוגבלת,מפרה,2021,אבן יהודה,המיסדים,62,4050000,,ישראל,0537775776,,28.11.2021,2021,11
513487629,אנדימד בע~מ,ENDYMED LTD,ישראלית חברה ציבורית,פעילה,,לעסוק בכל עיסוק חוקי,01.01.04 00:00,לא,מוגבלת,,2004,קיסריה,לשם,12,3088900,,ישראל,איזור התעשיה הצפוני,,28.12.2014,2014,12
513488320,זיג זג פיתרונות מיחשוב בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,04.01.04 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,שוהם נוה אפרים,27,6019000,,ישראל,כתובת לת~ד 2785 נווה מנסון מיקוד 60190,,29.12.2021,2021,12
513488460,בונד היל קפיטל בע~מ,BOND HILL CAPITAL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,04.01.04 00:00,לא,מוגבלת,,2022,הוד השרון,טווס,3,4535321,,ישראל,,,04.12.2017,2017,12
513490300,דוגו - עידן האבן בע~מ,DUGU - STONE AGE LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.01.04 00:00,לא,מוגבלת,,2021,ראש העין,יונתן רטוש,16,4840901,,ישראל,,,31.01.2021,2021,1
513491019,גרייט לוור בע~מ,GREAT LEVER LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.01.04 00:00,לא,מוגבלת,,2021,סביון,הרכס,8,,,ישראל,,,03.11.2020,2020,11
513491225,ד.ב.ש. דוידור בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,06.01.04 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,מבוא ברוניקה,9,5640332,,ישראל,קרית הסביונים,,15.06.2020,2020,6
513492660,גל ירדן הנדסה ושירותים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.01.04 00:00,לא,מוגבלת,מפרה,2019,הוד השרון,אליהו הנביא,40,,,ישראל,"שפירא גרשון, מיקוד 45375",,08.05.2018,2018,5
513492728,תומקאר מערכות אלקטרוניקה בע~מ,TOMCAR ELECTRONIC SYSTEMS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.01.04 00:00,לא,מוגבלת,,2020,יהוד-מונוסון,גירון אברהם,4,5621718,,ישראל,,,23.08.2020,2020,8
513493536,רעם אומגה בע~מ,RAAM OMEGA LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,12.01.04 00:00,לא,מוגבלת,מפרה,2021,יהוד-מונוסון,עינבר נוה אפרים,6,6019000,,ישראל,,,27.09.2019,2019,9
513493544,גומא פתרונות בע~מ,GOMEH SOLUTIONS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,11.01.04 00:00,לא,מוגבלת,,2021,ראש העין,העבודה,11,4801761,,ישראל,,,17.11.2020,2020,11
513494716,א.ח.מ.י.  קונסטרקשן - שיקום מבנים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,12.01.04 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,ביאליק,13,5633201,,ישראל,טאראגאן אברהם,,16.09.2018,2018,9
513495226,וייס ושות' יועצים ,WEISS AND CO. CONSULTANTS,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,13.01.04 00:00,לא,לא מוגבלת,מפרה,2019,בנימינה,היסמין,11,3050000,,ישראל,וייס אסף ,,27.02.2019,2019,2
513495499,אפרתי דודי אחזקות (2004) בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,14.01.04 00:00,לא,מוגבלת,,2022,הוד השרון,עזר וייצמן          ,12,4502549,,ישראל,,,26.03.2020,2020,3
513499830,קבוצת מכשירי עבודה בע~מ,WORKING TOOLS GROUP LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,20.01.04 00:00,לא,מוגבלת,,2020,בנימינה,ששת הימים,1,3057701,,ישראל,אליצור ברכוכבא,,26.06.2018,2018,6
513504050,סינוגה מדיקל בע~מ,CNOGA MEDICAL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בכל עיסוק חוקי,28.01.04 00:00,לא,מוגבלת,מפרה,2019,קיסריה,,5,3088900,,ישראל,רחוב תרשיש פארק התעשיה הצפוני ,,07.08.2019,2019,8
513505941,לייף סייבר פתרונות קרינה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.02.04 00:00,לא,מוגבלת,,2022,ראש העין,עמל,17,4809256,,ישראל,,,14.12.2020,2020,12
513507301,מדיסון גרדן בע~מ,MADISON GARDEN LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,04.02.04 00:00,לא,מוגבלת,,2021,הוד השרון,גולדה מאיר,3,4528251,,ישראל,,,04.11.2021,2021,11
513509000,ציון מדמון השקעות בע~מ,ZION MADMON INVESTMENTS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.02.04 00:00,לא,מוגבלת,מפרה,2019,ראש העין,יערה,4,4858578,,ישראל,,,04.06.2020,2020,6
513510230,יובל - גבריאלה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.02.04 00:00,לא,מוגבלת,,2020,קיסריה,ספיר,32,3088900,,ישראל,,,26.01.2015,2015,1
